比赛,主队,主分,客分,客队
岭南open,深圳Zen,11,1,上海多飞
岭南open,广州Storm,11,8,天津Speed
岭南open,成都Feipanda,6,9,上海Huwa
岭南open,广州红荔枝,9,8,长沙1970
岭南open,深圳Zen,5,7,广州Storm
岭南open,上海多飞,4,9,天津Speed
岭南open,成都Feipanda,11,6,广州红荔枝
岭南open,上海Huwa,8,6,长沙1970
岭南open,深圳Zen,9,7,天津Speed
岭南open,上海多飞,1,11,广州Storm
岭南open,成都Feipanda,9,5,长沙1970
岭南open,上海Huwa,8,8,广州红荔枝
岭南open,深圳SZUPA,9,4,广州Wefly
岭南open,武汉CUG,8,9,厦门白鹭
岭南open,宁波UFO,6,11,西安肉夹馍
岭南open,北京Hotpot,6,9,重庆大学
岭南open,深圳SZUPA,10,4,武汉CUG
岭南open,广州Wefly,3,9,厦门白鹭
岭南open,宁波UFO,10,3,北京Hotpot
岭南open,西安肉夹馍,8,3,重庆大学
岭南open,深圳SZUPA,9,9,厦门白鹭
岭南open,广州Wefly,8,10,武汉CUG
岭南open,宁波UFO,7,7,重庆大学
岭南open,西安肉夹馍,10,3,北京Hotpot
岭南open,上海多飞,6,11,西安肉夹馍
岭南open,长沙1970,8,3,深圳SZUPA
岭南open,广州Storm,13,3,西安肉夹馍
岭南open,上海Huwa,12,6,长沙1970
岭南open,上海多飞,6,5,北京Hotpot
岭南open,深圳SZUPA,5,6,广州Wefly
岭南open,深圳Zen,10,6,天津Speed
岭南open,成都Feipanda,9,8,广州红荔枝
岭南open,厦门白鹭,9,8,武汉CUG
岭南open,宁波UFO,6,8,重庆大学
岭南open,西安肉夹馍,8,10,广州红荔枝
岭南open,长沙1970,11,10,天津Speed
岭南open,广州Storm,10,5,成都Feipanda
岭南open,上海Huwa,7,9,深圳Zen
岭南open,深圳SZUPA,10,4,宁波UFO
岭南open,北京Hotpot,8,4,武汉CUG
岭南open,广州Wefly,7,9,厦门白鹭
岭南open,上海多飞,8,9,重庆大学
岭南open,成都Feipanda,10,12,上海Huwa
岭南open,广州Storm,9,12,深圳Zen
岭南open,上海多飞,7,4,广州Wefly
岭南open,重庆大学,11,10,厦门白鹭
嘉定盛夏赛,上海Maxima,10,4,上海多飞B
嘉定盛夏赛,上海SUIBE,10,4,上海Ds-fly
嘉定盛夏赛,苏州Superjet,8,4,上海Disco
嘉定盛夏赛,上海山坡,6,7,上海Latte
嘉定盛夏赛,上海Raven,8,4,上海多飞B
嘉定盛夏赛,上海多飞,9,2,上海Ds-fly
嘉定盛夏赛,上海黑猫,10,1,上海Disco
嘉定盛夏赛,上海之翼,9,2,上海Latte
嘉定盛夏赛,上海Raven,8,7,上海Maxima
嘉定盛夏赛,上海多飞,8,4,上海SUIBE
嘉定盛夏赛,上海黑猫,8,5,苏州Superjet
嘉定盛夏赛,上海之翼,8,3,上海山坡
嘉定盛夏赛,上海Maxima,12,6,上海山坡
嘉定盛夏赛,上海SUIBE,8,5,上海Disco
嘉定盛夏赛,苏州Superjet,13,3,上海Ds-fly
嘉定盛夏赛,上海Latte,12,6,上海多飞B
嘉定盛夏赛,上海之翼,8,2,上海Maxima
嘉定盛夏赛,上海黑猫,10,5,上海SUIBE
嘉定盛夏赛,上海多飞,11,7,苏州Superjet
嘉定盛夏赛,上海Raven,6,5,上海Latte
嘉定盛夏赛,上海之翼,6,11,上海Raven
